Timestamp,Velocity,Flow_Instant,Pressure,Total_Flow,ID,Code
2024-07-20 09:50:00,0.0,0.0,5.18,1637666.52,1,0
2024-07-20 10:00:00,0.1,25.91,5.22,1637668.7,1,0
2024-07-20 10:10:00,0.41,105.08,4.93,1637683.7,1,0
2024-07-20 10:20:00,0.29,74.85,4.99,1637700.45,1,0
2024-07-20 10:30:00,0.27,69.09,4.79,1637714.61,1,0
2024-07-20 10:40:00,0.34,87.8,4.92,1637726.96,1,0
2024-07-20 10:50:00,0.41,105.08,4.98,1637741.98,1,0
2024-07-20 11:00:00,0.43,110.84,5.26,1637759.97,1,0
2024-07-20 11:10:00,0.56,142.51,5.54,1637781.56,1,0
2024-07-20 11:20:00,0.54,138.19,5.36,1637803.36,1,0
2024-07-20 11:30:00,0.34,87.8,5.4,1637822.13,1,0
2024-07-20 11:40:00,-0.19,-50.38,5.58,1637824.49,1,0
2024-07-20 11:50:00,-0.18,-46.06,5.53,1637824.49,1,0
2024-07-20 12:00:00,0.02,5.75,5.34,1637824.59,1,0
2024-07-20 12:10:00,0.29,76.29,5.42,1637834.49,1,0
2024-07-20 12:20:00,0.18,46.06,5.38,1637842.92,1,0
2024-07-20 12:30:00,0.43,110.84,5.36,1637854.47,1,0
2024-07-20 12:40:00,0.36,92.12,5.15,1637871.55,1,0
2024-07-20 12:50:00,0.24,61.89,5.1,1637881.73,1,0
2024-07-20 13:00:00,-0.03,-10.07,5.1,1637884.1,1,0
2024-07-20 13:10:00,-0.13,-34.54,4.98,1637884.19,1,0
2024-07-20 13:20:00,0.28,71.97,4.46,1637890.92,1,0
2024-07-20 13:30:00,0.31,80.61,4.44,1637903.56,1,0
2024-07-20 13:40:00,0.28,71.97,4.51,1637916.67,1,0
2024-07-20 13:50:00,0.02,5.75,4.54,1637920.31,1,0
2024-07-20 14:00:00,-0.16,-41.74,3.91,1637920.39,1,0
2024-07-20 14:10:00,0.12,31.66,4.01,1637921.8,1,0
2024-07-20 14:20:00,-0.19,-48.94,4.74,1637924.58,1,0
2024-07-20 14:30:00,-0.18,-47.5,4.53,1637924.58,1,0
2024-07-20 14:40:00,-0.11,-30.22,5.01,1637924.64,1,0
2024-07-20 14:50:00,-0.29,-74.85,5.04,1637924.64,1,0
2024-07-20 15:00:00,-0.02,-7.19,5.52,1637924.79,1,0
2024-07-20 15:10:00,0.39,100.76,4.96,1637928.57,1,0
2024-07-20 15:20:00,0.25,64.77,5.07,1637946.4,1,0
2024-07-20 15:30:00,0.33,86.36,5.14,1637957.09,1,0
2024-07-20 15:40:00,0.64,164.1,5.44,1637978.73,1,0
2024-07-20 15:50:00,0.61,156.9,5.35,1638005.21,1,0
2024-07-20 16:00:00,0.41,106.52,5.5,1638027.68,1,0
2024-07-20 16:10:00,0.41,105.08,5.33,1638044.91,1,0
2024-07-20 16:20:00,0.41,106.52,5.35,1638062.3,1,0
2024-07-20 16:30:00,-0.2,-51.82,5.53,1638071.06,1,0
2024-07-20 16:40:00,-0.25,-64.77,5.52,1638071.06,1,0
2024-07-20 16:50:00,0.03,8.63,5.57,1638072.08,1,0
2024-07-20 17:00:00,0.07,18.71,5.49,1638075.71,1,0
2024-07-20 17:10:00,0.29,76.29,5.2,1638082.72,1,0
2024-07-20 17:20:00,0.52,132.43,5.25,1638096.76,1,0
2024-07-20 17:30:00,0.57,146.82,5.27,1638120.86,1,0
2024-07-20 17:40:00,0.32,83.49,5.23,1638138.51,1,0
2024-07-20 17:50:00,0.23,60.45,5.25,1638150.99,1,0
2024-07-20 18:00:00,0.05,12.95,5.3,1638157.87,1,0
2024-07-20 18:10:00,0.19,50.38,5.28,1638161.71,1,0
2024-07-20 18:20:00,0.31,79.17,5.41,1638171.28,1,0
2024-07-20 18:30:00,-0.24,-63.33,5.43,1638174.86,1,0
2024-07-20 18:40:00,-0.2,-53.26,5.42,1638174.86,1,0
2024-07-20 18:50:00,-0.14,-37.42,5.62,1638174.86,1,0
2024-07-20 19:00:00,-0.14,-35.98,5.57,1638174.86,1,0
2024-07-20 19:10:00,-0.27,-70.53,5.46,1638174.86,1,0
2024-07-20 19:20:00,-0.22,-56.14,5.65,1638174.86,1,0
2024-07-20 19:30:00,-0.27,-69.09,5.44,1638174.86,1,0
2024-07-20 19:40:00,-0.33,-86.36,5.21,1638174.86,1,0
2024-07-20 19:50:00,-0.35,-90.68,5.31,1638174.86,1,0
2024-07-20 20:00:00,-0.23,-59.01,5.21,1638174.86,1,0
2024-07-20 20:10:00,-0.13,-34.54,5.45,1638174.86,1,0
2024-07-20 20:20:00,-0.18,-46.06,5.25,1638174.86,1,0
2024-07-20 20:30:00,-0.15,-40.3,5.33,1638174.86,1,0
2024-07-20 20:40:00,0.1,25.91,5.45,1638175.95,1,0
2024-07-20 20:50:00,-0.07,-20.15,5.12,1638180.48,1,0
2024-07-20 21:00:00,0.38,97.88,5.17,1638189.2,1,0
